State,ViolentCrimeRate,MurderRate
AK,7.61,9
AL,7.8,11.6
AR,5.93,10.2
AZ,7.15,8.6
CA,10.78,13.1
CO,5.67,5.8
CT,4.56,6.3
DE,6.86,5
FL,12.06,8.9
GA,7.23,11.4
HI,2.61,3.8
IA,3.26,2.3
ID,2.82,2.9
IL,9.6,11.4
IN,4.89,7.5
KS,4.96,6.4
KY,4.63,6.6
LA,10.62,20.3
MA,8.05,3.9
MD,9.98,12.7
ME,1.26,1.6
MI,7.92,9.8
MN,3.27,3.4
MO,7.44,11.3
MS,3.34,13.5
MT,1.78,3
NC,6.79,11.3
ND,8.2,1.7
NE,3.39,3.9
NH,1.38,2
NJ,6.27,5.3
NM,9.3,8
NV,8.75,10.4
NY,10.74,13.3
OH,5.04,6
OK,6.35,8.4
OR,5.03,4.6
PA,4.18,6.8
RI,4.02,3.9
SC,10.23,10.3
SD,2.08,3.4
TN,7.66,10.2
TX,7.62,11.9
UT,3.01,3.1
VA,3.72,8.3
VT,1.14,3.6
WA,5.15,5.2
WI,2.64,4.4
WV,2.08,6.9
WY,2.86,3.4
DC,29.22,78.5
